Energy (eV),Wavelength (A),Cross Section (Mb)
12138.112,1.02,0.0
12150.506,1.02,0.0
12162.901,1.02,0.0
12175.296,1.02,0.0
12187.69,1.02,0.0
12200.085,1.02,0.0
12212.48,1.02,0.0
12224.875,1.01,0.0
12237.269,1.01,0.0
12249.664,1.01,0.0
12262.059,1.01,0.0
12274.453,1.01,0.0
12286.848,1.01,0.0
12299.243,1.01,0.0
12311.637,1.01,0.0
12324.032,1.01,0.0
12336.427,1.01,0.0
12348.821,1.0,0.0
12361.216,1.0,0.0
12373.611,1.0,0.0
12386.005,1.0,0.0
12398.4,1.0,0.0
