Energy (eV),Wavelength (A),Cross Section (Mb)
98.341,126.08,0.0204
98.482,125.89,0.0203
98.623,125.71,0.0202
98.765,125.53,0.0201
98.906,125.36,0.02
99.047,125.18,0.0199
99.188,125.0,0.0198
99.33,124.82,0.0197
99.471,124.64,0.0197
99.612,124.47,0.0196
99.753,124.29,0.0195
99.895,124.11,0.0194
100.036,123.94,0.0193
100.177,123.76,0.0192
100.318,123.59,0.0192
100.46,123.42,0.0191
100.601,123.24,0.019
100.742,123.07,0.0189
100.883,122.9,0.0188
101.025,122.73,0.0187
101.166,122.56,0.0187
101.307,122.38,0.0186
101.448,122.21,0.0185
101.589,122.04,0.0184
101.731,121.87,0.0183
101.872,121.71,0.0183
102.013,121.54,0.0182
102.154,121.37,0.0181
102.296,121.2,0.018
102.437,121.03,0.018
102.578,120.87,0.0179
102.719,120.7,0.0178
102.861,120.54,0.0177
103.002,120.37,0.0177
103.143,120.21,0.0176
103.284,120.04,0.0175
103.426,119.88,0.0174
103.567,119.71,0.0174
103.708,119.55,0.0173
103.849,119.39,0.0172
103.991,119.23,0.0171
104.132,119.06,0.0171
104.273,118.9,0.017
104.414,118.74,0.0169
104.556,118.58,0.0169
104.697,118.42,0.0168
104.838,118.26,0.0167
104.979,118.1,0.0166
105.121,117.94,0.0166
105.262,117.79,0.0165
105.403,117.63,0.0164
105.544,117.47,0.0164
105.686,117.31,0.0163
105.827,117.16,0.0162
105.968,117.0,0.0162
106.109,116.85,0.0161
106.251,116.69,0.016
106.392,116.54,0.016
106.533,116.38,0.0159
106.674,116.23,0.0158
106.816,116.07,0.0158
106.957,115.92,0.0157
107.098,115.77,0.0156
107.239,115.61,0.0156
107.381,115.46,0.0155
107.522,115.31,0.0155
107.663,115.16,0.0154
107.804,115.01,0.0153
107.946,114.86,0.0153
108.087,114.71,0.0152
108.228,114.56,0.0151
108.369,114.41,0.0151
108.51,114.26,0.015
108.652,114.11,0.015
108.793,113.96,0.0149
108.934,113.82,0.0148
109.075,113.67,0.0148
109.217,113.52,0.0147
109.358,113.37,0.0147
109.499,113.23,0.0146
109.64,113.08,0.0145
109.782,112.94,0.0145
109.923,112.79,0.0144
110.064,112.65,0.0144
110.205,112.5,0.0143
110.347,112.36,0.0143
110.488,112.21,0.0142
110.629,112.07,0.0141
110.77,111.93,0.0141
110.912,111.79,0.014
111.053,111.64,0.014
111.194,111.5,0.0139
111.335,111.36,0.0139
111.477,111.22,0.0138
111.618,111.08,0.0138
111.759,110.94,0.0137
111.9,110.8,0.0137
112.042,110.66,0.0136
112.183,110.52,0.0135
112.324,110.38,0.0135
112.465,110.24,0.0134
112.607,110.1,0.0134
112.748,109.97,0.0133
112.889,109.83,0.0133
113.03,109.69,0.0132
113.172,109.55,0.0132
113.313,109.42,0.0131
113.454,109.28,0.0131
113.595,109.15,0.013
113.737,109.01,0.013
113.878,108.87,0.0129
114.019,108.74,0.0129
114.16,108.61,0.0128
114.302,108.47,0.0128
114.443,108.34,0.0127
114.584,108.2,0.0127
114.725,108.07,0.0126
114.866,107.94,0.0126
115.008,107.8,0.0125
115.149,107.67,0.0125
115.29,107.54,0.0124
115.431,107.41,0.0124
115.573,107.28,0.0124
115.714,107.15,0.0123
115.855,107.02,0.0123
115.996,106.89,0.0122
116.138,106.76,0.0122
116.279,106.63,0.0121
116.42,106.5,0.0121
116.561,106.37,0.012
116.703,106.24,0.012
116.844,106.11,0.0119
116.985,105.98,0.0119
117.126,105.85,0.0118
117.268,105.73,0.0118
117.409,105.6,0.0118
117.55,105.47,0.0117
117.691,105.35,0.0117
117.833,105.22,0.0116
117.974,105.09,0.0116
118.115,104.97,0.0115
118.256,104.84,0.0115
118.398,104.72,0.0115
118.539,104.59,0.0114
118.68,104.47,0.0114
118.821,104.34,0.0113
118.963,104.22,0.0113
119.104,104.1,0.0112
119.245,103.97,0.0112
119.386,103.85,0.0112
119.528,103.73,0.0111
119.669,103.61,0.0111
119.81,103.48,0.011
119.951,103.36,0.011
120.093,103.24,0.011
120.234,103.12,0.0109
120.375,103.0,0.0109
120.516,102.88,0.0108
120.658,102.76,0.0108
120.799,102.64,0.0108
120.94,102.52,0.0107
121.081,102.4,0.0107
121.223,102.28,0.0106
121.364,102.16,0.0106
121.505,102.04,0.0106
121.646,101.92,0.0105
121.787,101.8,0.0105
121.929,101.69,0.0105
122.07,101.57,0.0104
122.211,101.45,0.0104
122.352,101.33,0.0103
122.494,101.22,0.0103
122.635,101.1,0.0103
122.776,100.98,0.0102
122.917,100.87,0.0102
123.059,100.75,0.0102
123.2,100.64,0.0101
