r,u,V
34.34572429165694,8.33647962347004e-14,-0.029115705684591254
34.35572595859977,8.25592135556712e-14,-0.029107229496621496
34.36572762554259,8.176140856956502e-14,-0.02909875824240492
34.37572929248542,8.097130625577914e-14,-0.02909029191763508
34.385730959428244,8.018883231660397e-14,-0.029081830518010537
34.395732626371064,7.941391317025801e-14,-0.02907337403923486
34.40573429331389,7.864647594400862e-14,-0.029064922477016607
34.41573596025671,7.788644846733216e-14,-0.029056475827069335
34.42573762719954,7.713375926516536e-14,-0.029048034085111567
34.43573929414236,7.638833755121162e-14,-0.02903959724686682
34.445740961085185,7.565011322129894e-14,-0.029031165308063555
34.455742628028005,7.491901684682353e-14,-0.029022738264435216
34.46574429497083,7.419497966825267e-14,-0.029014316111720177
34.47574596191365,7.347793358866245e-14,-0.02900589884566178
34.48574762885648,7.276781116738526e-14,-0.02899748646200828
34.4957492957993,7.206454561367064e-14,-0.028989078956512895
34.50575096274213,7.136807078044138e-14,-0.02898067632493373
34.51575262968495,7.067832115809553e-14,-0.02897227856303384
34.525754296627774,6.9995231868357e-14,-0.028963885666581157
34.5357559635706,6.931873865822449e-14,-0.028955497631348547
34.54575763051342,6.864877789391533e-14,-0.02894711445311376
34.55575929745625,6.798528655494598e-14,-0.02893873612765942
34.56576096439907,6.732820222818405e-14,-0.028930362650773055
34.575762631341895,6.667746310204026e-14,-0.028921994018247046
34.585764298284715,6.603300796064692e-14,-0.02891363022587866
34.59576596522754,6.539477617814366e-14,-0.02890527126947001
34.60576763217036,6.476270771298303e-14,-0.02889691714482807
34.61576929911319,6.413674310230924e-14,-0.02888856784776465
34.62577096605601,6.351682345639294e-14,-0.02888022337409642
34.63577263299884,6.290289045310213e-14,-0.02887188371964486
34.64577429994166,6.229488633244802e-14,-0.028863548880236282
34.655775966884484,6.169275389116015e-14,-0.02885521885170182
34.665777633827304,6.10964364773352e-14,-0.02884689362987742
34.67577930077013,6.050587798513268e-14,-0.028838573210603822
34.68578096771296,5.992102284950182e-14,-0.02883025758972657
34.69578263465578,5.934181604098206e-14,-0.028821946763096015
34.705784301598605,5.87682030605571e-14,-0.028813640726567252
34.715785968541425,5.820012993452752e-14,-0.028805339476000197
34.72578763548425,5.763754320946524e-14,-0.028797043007259493
34.73578930242707,5.708038994720071e-14,-0.028788751316214587
34.7457909693699,5.6528617719860015e-14,-0.02878046439873965
34.75579263631272,5.598217460495303e-14,-0.02877218225071362
34.76579430325555,5.5441009180505237e-14,-0.028763904868020166
34.77579597019837,5.490507052023998e-14,-0.02875563224654771
34.785797637141194,5.4374308188799785e-14,-0.02874736438218937
34.795799304084014,5.3848672237027103e-14,-0.02873910127084303
34.80580097102684,5.332811319728121e-14,-0.028730842908411252
34.81580263796966,5.2812582078786946e-14,-0.028722589290801327
34.82580430491249,5.230203036306371e-14,-0.028714340413925232
34.835805971855315,5.179640999936274e-14,-0.028706096273699654
34.845807638798135,5.129567340016606e-14,-0.028697856866045965
34.85580930574096,5.0799773436727116e-14,-0.028689622186890206
34.86581097268378,5.030866343465279e-14,-0.02868139223216311
34.87581263962661,4.982229716952946e-14,-0.028673166997800065
34.88581430656943,4.9340628862575206e-14,-0.028664946479741125
34.895815973512256,4.8863613176374947e-14,-0.028656730673931
34.905817640455076,4.83912052105982e-14,-0.02864851957631905
34.9158193073979,4.792336049781941e-14,-0.02864031318285926
34.92582097434072,4.7460034999323246e-14,-0.028632111489510274
34.93582264128355,4.7001185100994457e-14,-0.028623914492235347
34.94582430822637,4.654676760921723e-14,-0.028615722187002368
34.9558259751692,4.609673974682886e-14,-0.028607534569783818
34.96582764211202,4.565105914910682e-14,-0.02859935163655682
34.975829309054845,4.520968385980476e-14,-0.02859117338330306
34.98583097599767,4.477257232720436e-14,-0.028582999806008855
34.99583264294049,4.433968340022535e-14,-0.02857483090066509
35.00583430988332,4.3910976324575974e-14,-0.02856666666326723
35.01583597682614,4.348641073890706e-14,-0.02855850708981533
35.025837643768966,4.306594667105723e-14,-0.028550352176313996
35.035839310711786,4.264954453428318e-14,-0.028542201918772415
35.04584097765461,4.2237165123555e-14,-0.028534056313204312
35.05584264459743,4.1828769611874254e-14,-0.028525915355627977
35.06584431154026,4.1424319546631774e-14,-0.028517779042066226
35.07584597848308,4.1023776846021274e-14,-0.02850964736854643
35.08584764542591,4.062710379543492e-14,-0.02850152033110047
35.09584931236873,4.023426304395189e-14,-0.02849339792576477
35.105850979311555,3.984521760081921e-14,-0.02848528014858025
35.11585264625438,3.9459930832001603e-14,-0.028477166995592364
35.1258543131972,3.9078366456716436e-14,-0.028469058462851055
35.13585598014003,3.870048854405451e-14,-0.028460954546410757
35.14585764708285,3.832626150960405e-14,-0.028452855242330422
35.155859314025676,3.7955650112106176e-14,-0.028444760546673453
35.165860980968496,3.758861945015644e-14,-0.02843667045550776
35.17586264791132,3.722513495892375e-14,-0.028428584964905704
35.18586431485414,3.6865162406913935e-14,-0.02842050407094413
35.19586598179697,3.6508667892761826e-14,-0.028412427769704325
35.20586764873979,3.615561784203347e-14,-0.028404356057272047
35.21586931568262,3.580597900410023e-14,-0.028396288929737477
35.22587098262544,3.545971844900079e-14,-0.028388226383195266
35.235872649568265,3.511680356435462e-14,-0.028380168413744473
35.245874316511085,3.477720205231537e-14,-0.028372115017488604
35.25587598345391,3.444088192652356e-14,-0.028364066190535567
35.26587765039674,3.410781150911384e-14,-0.028356021928997704
35.27587931733956,3.3777959427745687e-14,-0.028347982228991767
35.285880984282386,3.345129461265061e-14,-0.028339947086638884
35.295882651225206,3.3127786293728e-14,-0.028331916498064613
35.30588431816803,3.2807403997641535e-14,-0.028323890459398877
35.31588598511085,3.249011754498374e-14,-0.028315868966776004
35.32588765205368,3.217589704741671e-14,-0.028307852016334675
35.3358893189965,3.186471290489341e-14,-0.02829983960421797
35.34589098593933,3.155653580285714e-14,-0.028291831726573315
35.35589265288215,3.1251336709511645e-14,-0.028283828379552504
35.365894319824974,3.094908687307585e-14,-0.02827582955931168
35.375895986767794,3.064975781909994e-14,-0.028267835262011338
35.38589765371062,3.0353321347790964e-14,-0.0282598454838163
35.39589932065344,3.005974953136216e-14,-0.028251860220895753
35.40590098759627,2.9769014711413365e-14,-0.028243879469423177
35.415902654539096,2.9481089496337565e-14,-0.028235903225576394
35.425904321481916,2.919594675874866e-14,-0.028227931485537545
35.43590598842474,2.8913559632930585e-14,-0.02821996424549307
35.44590765536756,2.8633901512323997e-14,-0.028212001501633725
35.45590932231039,2.8356946047027766e-14,-0.028204043250154544
35.46591098925321,2.8082667141315342e-14,-0.028196089487254886
35.47591265619604,2.7811038951198492e-14,-0.02818814020913836
35.48591432313886,2.75420358819879e-14,-0.028180195412012887
35.495915990081684,2.7275632585913537e-14,-0.02817225509209063
35.505917657024504,2.7011803959717134e-14,-0.028164319245588057
35.51591932396733,2.675052514230766e-14,-0.028156387868725857
35.52592099091015,2.6491771512438827e-14,-0.028148460957729014
35.53592265785298,2.6235518686378808e-14,-0.028140538508826727
35.5459243247958,2.5981742515637443e-14,-0.028132620518252473
35.555925991738626,2.5730419084679998e-14,-0.02812470698224394
35.56592765868145,2.5481524708703306e-14,-0.028116797897043053
35.57592932562427,2.5235035931394735e-14,-0.02810889325889598
35.5859309925671,2.4990929522742856e-14,-0.02810099306405309
35.59593265950992,2.4749182476854522e-14,-0.02809309730876898
35.60593432645275,2.450977200977838e-14,-0.02808520598930244
35.61593599339557,2.4272675557389702e-14,-0.02807731910191648
35.625937660338394,2.4037870773253945e-14,-0.028069436642878285
35.635939327281214,2.380533552653706e-14,-0.02806155860845926
35.64594099422404,2.3575047899929896e-14,-0.02805368499493496
35.65594266116686,2.3346986187580584e-14,-0.028045815798585155
35.66594432810969,2.3121128893065413e-14,-0.028037951015693757
35.67594599505251,2.2897454727356544e-14,-0.028030090642548865
35.685947661995336,2.2675942606845943e-14,-0.028022234675442726
35.695949328938156,2.2456571651345544e-14,-0.02801438311067176
35.70595099588098,2.22393211821337e-14,-0.02800653594453651
35.71595266282381,2.202417072001129e-14,-0.02799869317334169
35.72595432976663,2.1811099983379702e-14,-0.027990854793396143
35.73595599670946,2.1600088886342262e-14,-0.027983020801012833
35.74595766365228,2.139111753679965e-14,-0.027975191192508866
35.755959330595104,2.1184166234605178e-14,-0.027967365964205456
35.765960997537924,2.097921546970031e-14,-0.027959545112427944
35.77596266448075,2.077624592028232e-14,-0.02795172863350577
35.78596433142357,2.0575238450990134e-14,-0.027943916523772486
35.7959659983664,2.0376174111115598e-14,-0.027936108779565733
35.80596766530922,2.0179034132813603e-14,-0.027928305397227255
35.815969332252045,1.9983799929344475e-14,-0.027920506373102866
35.825970999194865,1.9790453093319772e-14,-0.02791271170354248
35.83597266613769,1.959897539498572e-14,-0.02790492138490007
35.84597433308051,1.940934878050749e-14,-0.02789713541353369
35.85597600002334,1.9221555370261673e-14,-0.027889353785805444
35.86597766696617,1.9035577457171878e-14,-0.027881576498081505
35.87597933390899,1.8851397505039626e-14,-0.027873803546732103
35.885981000851814,1.8668998146890944e-14,-0.0278660349281315
35.895982667794634,1.8488362183357386e-14,-0.02785827063865801
35.90598433473746,1.8309472581044925e-14,-0.027850510674693966
35.91598600168028,1.8132312470947087e-14,-0.02784275503262576
35.92598766862311,1.795686514685532e-14,-0.027835003708843776
35.93598933556593,1.7783114063786875e-14,-0.027827256699742443
35.945991002508755,1.7611042836434597e-14,-0.027819514001720183
